Date,Open,High,Low,Close,Adj Close,Volume
08-08-2012,235.289993,236.449997,233.589996,234.380005,234.380005,1534300
09-08-2012,233.929993,235.990005,233.5,234.059998,234.059998,1548100
10-08-2012,233.080002,234.850006,231.429993,232.75,232.75,1852500
13-08-2012,232.229996,234.369995,231,232.440002,232.440002,1997300
14-08-2012,234.710007,236.720001,232.619995,233.190002,233.190002,2751000
15-08-2012,232.259995,238.139999,232.25,237.419998,237.419998,3264700
16-08-2012,237.720001,242.820007,236.199997,241.550003,241.550003,4312100
17-08-2012,240.600006,243.350006,240.470001,241.169998,241.169998,3085800
20-08-2012,241.369995,241.649994,238.199997,240.350006,240.350006,1889900
21-08-2012,240.880005,243.850006,238.550003,239.449997,239.449997,2571500
22-08-2012,239.399994,244.899994,238.800003,243.100006,243.100006,2473700
23-08-2012,242.139999,243.479996,239.020004,241.199997,241.199997,2453900
24-08-2012,241.679993,246.869995,241.360001,245.740005,245.740005,3698800
27-08-2012,245.789993,247.5,243.119995,243.919998,243.919998,2929700
28-08-2012,243.970001,246.779999,243,246.110001,246.110001,2742300
29-08-2012,246.779999,247.610001,244.589996,247.119995,247.119995,1772600
30-08-2012,246.990005,250,245.25,246.220001,246.220001,3647500
31-08-2012,248.070007,249.449997,245.5,248.270004,248.270004,3347500
04-09-2012,248.270004,251,244.660004,247.880005,247.880005,3950800
05-09-2012,247.610001,248.610001,245.300003,246.220001,246.220001,2652600
06-09-2012,248.229996,252.699997,247.199997,251.380005,251.380005,5361400
07-09-2012,253.850006,259.420013,253.520004,259.140015,259.140015,5029500
10-09-2012,259,260,256.820007,257.089996,257.089996,2567200
11-09-2012,257.600006,257.600006,254.259995,255.669998,255.669998,2524800
12-09-2012,256.5,257.779999,253.5,255.630005,255.630005,2273200
13-09-2012,254.940002,262,253.800003,260.23999,260.23999,3525600
14-09-2012,261.399994,264.109985,259.769989,261.269989,261.269989,3666200
17-09-2012,261.25,261.25,257,258,258,2306300
18-09-2012,258.480011,260.5,257,258.75,258.75,2215000
19-09-2012,259.450012,262.839996,258.529999,261.679993,261.679993,2636800
20-09-2012,260.029999,260.869995,258,260.809998,260.809998,2913600
21-09-2012,261.73999,262,256.73999,257.470001,257.470001,6059300
24-09-2012,255.220001,255.600006,253,254.800003,254.800003,2707900
25-09-2012,256.329987,258.950012,251.029999,252.460007,252.460007,4405800
26-09-2012,252.399994,254.610001,248.229996,249.669998,249.669998,2920500
27-09-2012,250.539993,257.399994,250.520004,256.589996,256.589996,3397400
28-09-2012,256.140015,257,253.199997,254.320007,254.320007,2456600
01-10-2012,255.399994,256.160004,250.490005,252.009995,252.009995,2581200
02-10-2012,252.800003,253.149994,249.029999,250.600006,250.600006,2195800
03-10-2012,251.210007,256.100006,249.559998,255.919998,255.919998,2745600
04-10-2012,256.01001,261.519989,255.869995,260.470001,260.470001,2700400
05-10-2012,261.200012,261.899994,257.48999,258.51001,258.51001,2806500
08-10-2012,257.670013,259.799988,255.559998,259.059998,259.059998,1762300
09-10-2012,258.670013,259.350006,250.729996,250.960007,250.960007,3494800
10-10-2012,252,252.460007,244.009995,244.990005,244.990005,3948300
11-10-2012,248,249.300003,241.889999,244.220001,244.220001,3447300
12-10-2012,243.179993,245.460007,241.910004,242.360001,242.360001,2203200
15-10-2012,242.850006,244.779999,238.509995,244.179993,244.179993,2959800
16-10-2012,244.869995,245.770004,242.080002,243.940002,243.940002,2204100
17-10-2012,243.369995,248.800003,243.300003,247.490005,247.490005,3302700
18-10-2012,247.770004,250.910004,242.699997,244.850006,244.850006,5305300
19-10-2012,245.160004,246.820007,238.940002,240,240,4395300
22-10-2012,238.809998,238.949997,232.320007,233.779999,233.779999,4500000
23-10-2012,231.050003,236.5,230.009995,234.309998,234.309998,4430800
24-10-2012,235.880005,235.940002,227.949997,228.490005,228.490005,3678700
25-10-2012,230.919998,230.919998,222.919998,222.919998,222.919998,6741300
26-10-2012,228.600006,238.710007,226.690002,238.240005,238.240005,11367500
31-10-2012,236.320007,238.699997,230.5,232.889999,232.889999,4797600
01-11-2012,234.229996,234.550003,231.339996,232.139999,232.139999,3905100
02-11-2012,234.009995,237.399994,232.110001,232.419998,232.419998,3374700
05-11-2012,232.039993,234.830002,230.110001,234.330002,234.330002,1846100
06-11-2012,235.410004,237.75,234.449997,237.559998,237.559998,2661300
07-11-2012,235.649994,235.660004,229.419998,232.059998,232.059998,3624200
08-11-2012,232.220001,233.449997,227.100006,227.350006,227.350006,2982400
09-11-2012,226.259995,230.970001,224.600006,226.309998,226.309998,3092500
12-11-2012,226.589996,229.220001,225.410004,226.470001,226.470001,2128800
13-11-2012,225.119995,227.899994,224.710007,226.600006,226.600006,2629800
14-11-2012,226.5,227.410004,222.509995,222.949997,222.949997,3034100
15-11-2012,222.300003,225.160004,218.179993,220.600006,220.600006,3404700
16-11-2012,221.309998,226.25,218.639999,225.229996,225.229996,4352800
19-11-2012,228.320007,232.5,227.449997,229.710007,229.710007,3591200
20-11-2012,230,233.820007,229.5,233.779999,233.779999,2771700
21-11-2012,233.839996,238.669998,232.75,238.029999,238.029999,2959300
23-11-2012,239.889999,240,236.479996,239.880005,239.880005,1776800
26-11-2012,240.389999,244.320007,238,243.619995,243.619995,4178300
27-11-2012,243.220001,245.669998,241.539993,243.399994,243.399994,3048500
28-11-2012,242.449997,247.229996,241.5,247.110001,247.110001,2743400
29-11-2012,248.050003,252.479996,247.5,251.270004,251.270004,5310500
30-11-2012,250.380005,252.649994,248.270004,252.050003,252.050003,3797400
03-12-2012,252.539993,254.160004,250,250.330002,250.330002,2990600
04-12-2012,249.940002,253,248.660004,252.490005,252.490005,3114700
05-12-2012,252.440002,255.550003,250.380005,253.960007,253.960007,2852200
06-12-2012,253,255.169998,251.509995,253.369995,253.369995,3557900
07-12-2012,254.139999,255.210007,252.009995,253.270004,253.270004,2170300
10-12-2012,253.100006,254.779999,247.300003,247.770004,247.770004,3503800
11-12-2012,248.5,253.479996,246.649994,250.690002,250.690002,4185200
12-12-2012,251.070007,254.360001,250.059998,251.759995,251.759995,2628100
13-12-2012,251.110001,254.539993,250.020004,251.25,251.25,2460200
14-12-2012,250.110001,251.899994,247.789993,249.190002,249.190002,2526900
17-12-2012,249.809998,254,249.259995,253.860001,253.860001,2277000
18-12-2012,254.570007,263.109985,254.570007,260.399994,260.399994,4961000
19-12-2012,261.299988,261.670013,257.679993,257.98999,257.98999,2300000
20-12-2012,258.359985,262.410004,256.540009,261.5,261.5,2584600
21-12-2012,257.820007,258.380005,255.740005,256.920013,256.920013,4704600
24-12-2012,257.299988,259.5,256.959991,258.619995,258.619995,984400
26-12-2012,257.149994,257.420013,248.039993,248.630005,248.630005,4152700
27-12-2012,248.279999,249.350006,242.860001,248.309998,248.309998,3639300
28-12-2012,245.850006,247.440002,245.050003,245.179993,245.179993,1858700
31-12-2012,243.75,252.410004,242.75,250.869995,250.869995,3419000
02-01-2013,256.079987,258.100006,253.259995,257.309998,257.309998,3271000
03-01-2013,257.269989,260.880005,256.369995,258.480011,258.480011,2750900
04-01-2013,257.579987,259.799988,256.649994,259.149994,259.149994,1874200
07-01-2013,262.970001,269.730011,262.670013,268.459991,268.459991,4910000
08-01-2013,267.070007,268.980011,263.570007,266.380005,266.380005,3010700
09-01-2013,268.170013,269.5,265.399994,266.350006,266.350006,2265600
10-01-2013,268.540009,268.73999,262.299988,265.339996,265.339996,2863400
11-01-2013,265.100006,268.429993,264.109985,267.940002,267.940002,2413300
14-01-2013,268,274.26001,267.540009,272.730011,272.730011,4275000
15-01-2013,270.679993,272.730011,269.299988,271.899994,271.899994,2326900
16-01-2013,270.529999,271.23999,267.829987,268.929993,268.929993,2065600
17-01-2013,271.5,271.970001,269.209991,270.480011,270.480011,1884600
18-01-2013,270.829987,274.5,269.600006,272.119995,272.119995,2942000
22-01-2013,271.619995,272.100006,269.230011,270.190002,270.190002,2137700
23-01-2013,270.570007,271.089996,266.649994,268.109985,268.109985,2508900
24-01-2013,269.369995,276.649994,269.369995,273.459991,273.459991,3417000
25-01-2013,275,284.720001,274.399994,283.98999,283.98999,4968100
28-01-2013,283.779999,284.480011,274.399994,276.040009,276.040009,4321400
29-01-2013,275.350006,275.459991,258.350006,260.350006,260.350006,10172600
30-01-2013,283,284.200012,267.109985,272.76001,272.76001,13075400
31-01-2013,271.040009,275.940002,263.700012,265.5,265.5,6772100
01-02-2013,268.929993,268.929993,262.799988,265,265,6115000
04-02-2013,262.779999,264.679993,259.070007,259.980011,259.980011,3723600
05-02-2013,262,268.029999,261.459991,266.890015,266.890015,4012900
06-02-2013,265.160004,266.890015,261.109985,262.220001,262.220001,2770400
07-02-2013,264.100006,264.100006,255.110001,260.230011,260.230011,3975700
08-02-2013,261.399994,265.25,260.549988,261.950012,261.950012,3879200
11-02-2013,263.200012,263.25,256.600006,257.209991,257.209991,3403700
12-02-2013,259.190002,260.160004,257,258.700012,258.700012,2943700
13-02-2013,261.529999,269.959991,260.299988,269.470001,269.470001,5293000
14-02-2013,267.369995,270.649994,265.399994,269.23999,269.23999,3463000
15-02-2013,267.630005,268.920013,263.109985,265.089996,265.089996,3979900
19-02-2013,265.910004,270.109985,264.5,269.75,269.75,2854200
20-02-2013,270.200012,274.299988,266.369995,266.410004,266.410004,3528900
21-02-2013,265.119995,269.480011,263.25,265.940002,265.940002,3637400
22-02-2013,266.619995,267.109985,261.609985,265.420013,265.420013,3124800
25-02-2013,266.940002,268.690002,259.649994,259.869995,259.869995,3032400
26-02-2013,260.890015,262.040009,255.729996,259.359985,259.359985,3348600
27-02-2013,259.399994,265.829987,256.859985,263.25,263.25,2908100
28-02-2013,261.809998,267,260.630005,264.269989,264.269989,2667200
01-03-2013,263.269989,266.600006,261.040009,265.73999,265.73999,2957000
04-03-2013,265.359985,273.299988,264.140015,273.109985,273.109985,3453000
05-03-2013,274,276.679993,269.98999,275.589996,275.589996,3686200
06-03-2013,275.76001,276.48999,271.829987,273.790009,273.790009,2050700
07-03-2013,274.100006,274.799988,271.850006,273.880005,273.880005,1939000
08-03-2013,275,275.440002,271.5,274.190002,274.190002,1879800
11-03-2013,273.429993,273.98999,270.399994,271.23999,271.23999,1904900
12-03-2013,271,277.399994,270.359985,274.130005,274.130005,3246200
13-03-2013,275.23999,276.5,272.640015,275.100006,275.100006,1884200
14-03-2013,269.670013,270,263.529999,265.73999,265.73999,5226700
15-03-2013,264.980011,267.26001,260.049988,261.820007,261.820007,4865900
18-03-2013,259.299988,261.48999,257.119995,257.890015,257.890015,2720200
19-03-2013,258.399994,259.5,252.619995,256.410004,256.410004,3738500
20-03-2013,258.049988,259.76001,254.550003,257.279999,257.279999,2738900
21-03-2013,256.109985,257,252.679993,253.389999,253.389999,2806400
22-03-2013,254.550003,257.769989,252.070007,257.75,257.75,3124600
25-03-2013,258.579987,259.429993,254.5,256.019989,256.019989,2513900
26-03-2013,257.049988,261.480011,256.279999,260.309998,260.309998,2421000
27-03-2013,258.75,265.929993,257.899994,265.299988,265.299988,2874900
28-03-2013,265.820007,267.380005,264.059998,266.48999,266.48999,2473700
01-04-2013,266.980011,267.399994,261.01001,261.609985,261.609985,2524800
02-04-2013,262.399994,265.890015,260.549988,263.320007,263.320007,2631100
03-04-2013,262.119995,263.670013,257.75,259.029999,259.029999,2413800
04-04-2013,259.230011,260.410004,256.119995,259.079987,259.079987,1964400
05-04-2013,255.720001,256.179993,253.669998,255.479996,255.479996,2557400
08-04-2013,255.919998,259.679993,255.630005,258.950012,258.950012,2295600
09-04-2013,258.850006,262.609985,257,261.140015,261.140015,2156600
10-04-2013,261.779999,265.980011,259.320007,264.769989,264.769989,2322500
11-04-2013,264.73999,270.970001,264.73999,269.850006,269.850006,3090500
12-04-2013,270.119995,273.269989,267.019989,272.869995,272.869995,2866300
15-04-2013,271.079987,275.119995,267.100006,267.720001,267.720001,3326000
16-04-2013,269.309998,272.799988,268.059998,272.339996,272.339996,2137200
17-04-2013,270.799988,270.850006,264.25,267.399994,267.399994,3135100
18-04-2013,266.809998,266.98999,256.600006,259.420013,259.420013,3137600
19-04-2013,258.160004,262.880005,257.5,260.320007,260.320007,2602500
22-04-2013,259.350006,264.600006,258.029999,263.549988,263.549988,2119100
23-04-2013,264.5,269.869995,264.5,268.899994,268.899994,2270600
24-04-2013,269.5,271.470001,266.809998,268.779999,268.779999,1852800
25-04-2013,271.529999,275.799988,270.5,274.700012,274.700012,6116500
26-04-2013,269.970001,272.019989,252.809998,254.809998,254.809998,14030000
29-04-2013,254.899994,257.01001,249.149994,249.740005,249.740005,7117000
30-04-2013,249.369995,254.679993,248.559998,253.809998,253.809998,4248800
01-05-2013,253.899994,254.199997,245.75,248.229996,248.229996,4391400
02-05-2013,248.940002,252.929993,245.779999,252.550003,252.550003,3936200
03-05-2013,256.140015,259.25,254.699997,258.049988,258.049988,3514000
06-05-2013,258.089996,259.5,253.419998,255.720001,255.720001,2347800
07-05-2013,256.309998,259.73999,252.910004,257.730011,257.730011,3133700
08-05-2013,256.869995,260.299988,255.330002,258.679993,258.679993,2677000
09-05-2013,258.730011,263.549988,256.880005,260.160004,260.160004,2769300
10-05-2013,260.880005,263.649994,260.209991,263.630005,263.630005,3145300
13-05-2013,262.769989,265.880005,262,264.51001,264.51001,2149500
14-05-2013,264.5,269.399994,264.029999,268.329987,268.329987,2700000
15-05-2013,267.070007,269.049988,264.559998,266.559998,266.559998,2720500
16-05-2013,265.959991,268.429993,263.850006,264.119995,264.119995,1643500
17-05-2013,265.829987,269.980011,265,269.899994,269.899994,2527300
20-05-2013,269,271.790009,266.5,267.630005,267.630005,2209000
21-05-2013,268.73999,270.769989,267.660004,268.859985,268.859985,1741200
22-05-2013,267.390015,267.589996,260.799988,262.959991,262.959991,3332000
23-05-2013,260.48999,263.170013,259.589996,261.799988,261.799988,2000300
24-05-2013,259.850006,261.929993,258.339996,261.73999,261.73999,1696300
28-05-2013,266.480011,271.100006,266,267.290009,267.290009,3471000
29-05-2013,265.459991,268.25,264.839996,265.529999,265.529999,1903400
30-05-2013,265.709991,268.570007,265.609985,266.829987,266.829987,1667500
31-05-2013,266,271.910004,265.940002,269.200012,269.200012,3374300
03-06-2013,268.959991,269.109985,262.950012,266.880005,266.880005,2543900
04-06-2013,267,268.880005,263.019989,265.700012,265.700012,2088600
05-06-2013,265.809998,271.660004,265.019989,267.170013,267.170013,3512300
06-06-2013,267.75,270.5,264.209991,267.829987,267.829987,2476300
07-06-2013,269.73999,280.100006,269.130005,276.869995,276.869995,4632600
10-06-2013,276.679993,282.470001,275.23999,281.070007,281.070007,3086500
11-06-2013,276,278.410004,274.23999,274.779999,274.779999,3097800
12-06-2013,276.600006,276.799988,270.450012,271.670013,271.670013,2238900
13-06-2013,271.5,276.799988,270.290009,275.790009,275.790009,2649800
14-06-2013,275,277.070007,273.440002,273.98999,273.98999,2150800
17-06-2013,276.350006,280.200012,275.649994,278.059998,278.059998,2884000
18-06-2013,279.079987,282.910004,278.109985,281.76001,281.76001,2146100
19-06-2013,281.26001,283.339996,277.869995,278.160004,278.160004,2827500
20-06-2013,275.140015,278.600006,272.390015,273.440002,273.440002,2984000
21-06-2013,274.570007,275.839996,269.790009,273.359985,273.359985,4201000
24-06-2013,271.290009,273.160004,265,270.609985,270.609985,3863800
25-06-2013,272.299988,273.470001,269,272.089996,272.089996,2449600
26-06-2013,273.980011,277.980011,273.5,277.570007,277.570007,3029500
27-06-2013,279.179993,280.200012,274.540009,277.549988,277.549988,2519500
28-06-2013,276.190002,279.829987,276.190002,277.690002,277.690002,3193300
01-07-2013,279,283.290009,277.160004,282.100006,282.100006,2888200
02-07-2013,281.040009,286.579987,280.589996,283.730011,283.730011,3238200
03-07-2013,282,285.399994,282,284.029999,284.029999,1373000
05-07-2013,285,286.380005,282.070007,285.880005,285.880005,1985400
